github.com/AlDanial/cloc v 2.06  T=23.50 s (879.1 files/s, 195463.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Python                       13662         649834        1077396        2472547
JSON                          6064             14              0         159576
CSV                             30              0              0          36702
TypeScript                      86           3756           2289          20319
Markdown                        71           4923              1          17181
Text                           209            889              0          16393
Go                              58           3105           1873          15940
C/C++ Header                    81           2739           4344          14712
Cython                          88           3532           1707          13924
HTML                            14           2328              0          13624
JavaScript                      68           1989           1030          10861
C                               27           1208           1073           9050
YAML                            18            437            360           4300
Bourne Shell                    15            683            467           3116
C++                             16            594           1162           2930
SQL                              6             67             87           1685
Kotlin                           3            216             88           1673
Swift                            3            210             88           1224
Fortran 90                      61            132             97           1007
XML                              2            186              1            910
SCSS                             1            113             35            676
TOML                             1             41            123            654
CSS                              5            233             16            446
WXSS                             1             76             10            427
Fortran 77                      25             29             55            401
reStructuredText                 7            156            135            340
XSLT                             4             47             54            308
WXML                             1             14             19            150
Fish Shell                       3             39             43            131
Dockerfile                       8             84             83            130
Meson                            3             24              9            122
Assembly                         2             30             14            120
make                             1             22             17            118
INI                              4             18              0            110
PowerShell                       1             50             90            108
Jinja Template                   2             20              0             81
XSD                              1              0              3             47
C Shell                          3             29             17             45
Fortran 95                       1              0              1              4
DOS Batch                        1              0              0              2
-------------------------------------------------------------------------------
SUM:                         20657         677867        1092787        2822094
-------------------------------------------------------------------------------
